episode, step, reward, done, health, vx, vy, vz, px, py, pz
3204, 2181981, 0.0, False, 99.96, 0.0, -0.1899216, 0.0, 20.0, 0.50620157, 5.0
3204, 2181982, -0.0011999999405816197, False, 99.84, 0.0, -0.06980896, 1.5125134, 20.0, 0.49034908, 5.047178
3204, 2181983, -0.0011999999405816197, False, 99.71999, -0.30294606, -0.0005579144, 3.8015518, 20.002573, 0.4900028, 5.2303424
3204, 2181984, -0.0011999999405816197, False, 99.59999, -0.77833986, -4.7683716e-06, 5.877157, 20.0218, 0.49000004, 5.5441036
3204, 2181985, -0.0011999999405816197, False, 99.47999, -1.388365, 0.0, 7.707471, 20.072483, 0.49000004, 5.973809
3204, 2181986, -0.0011999999405816197, False, 99.359985, -2.097831, 0.0, 9.303917, 20.167574, 0.49000004, 6.5042505
3204, 2181987, -0.0011999999405816197, False, 99.23998, -2.8757682, 0.0, 10.68037, 20.318203, 0.49000004, 7.1199584
3204, 2181988, -0.0011999999405816197, False, 99.11998, -2.5353622, 0.0, 12.176745, 20.531439, 0.49000004, 7.8066907
3204, 2181989, -0.0011999999405816197, False, 98.99998, -3.5446687, 0.0, 13.229829, 20.804987, 0.49000004, 8.555542
3204, 2181990, -0.0011999999405816197, False, 98.879974, -3.1402678, 0.0, 14.48961, 21.14274, 0.49000004, 9.354311
3204, 2181991, -0.0011999999405816197, False, 98.75997, -2.786543, 0.0, 15.629507, 21.540028, 0.49000004, 10.197256
3204, 2181992, -0.0011999999405816197, False, 98.63997, -2.475925, 0.0, 16.661657, 21.990705, 0.49000004, 11.080563
3204, 2181993, -0.0011999999405816197, False, 98.519966, -2.2023087, 0.0, 17.596672, 22.489334, 0.49000004, 12.000721
3204, 2181994, -0.0011999999405816197, False, 98.39996, -1.9606838, 0.0, 18.443966, 23.031082, 0.49000004, 12.954511
3204, 2181995, -0.0011999999405816197, False, 98.27996, -1.7468767, 0.0, 19.211937, 23.611643, 0.49000004, 13.938975
3204, 2181996, -0.0011999999405816197, False, 98.15996, -1.5573654, 0.0, 19.908121, 24.22716, 0.49000004, 14.951407
3204, 2181997, -0.0011999999405816197, False, 98.039955, -1.3891602, 0.0, 20.539303, 24.874184, 0.49000004, 15.989331
3204, 2181998, -0.0011999999405816197, False, 97.91995, -3.340392, 0.0, 20.87382, 25.55173, 0.49000004, 17.04886
3204, 2181999, -0.0011999999405816197, False, 97.79995, -5.1052494, 0.0, 20.996216, 26.268267, 0.49000004, 18.118507
