episode, step, reward, cumulative reward, done, health, vx, vy, vz, px, py, pz
350, 1, 0.0, 0.0, False, 99.96, 0.0, -0.1899216, 0.0, 20.0, 0.50620157, 1.0
350, 2, -0.0011999999405816197, -0.0011999999405816197, False, 99.84, -0.07695181, -0.06980896, 1.510284, 20.002218, 0.49034908, 1.0471187
350, 3, -0.0011999999405816197, -0.0023999998811632395, False, 99.71999, 0.017704308, -0.0005579144, -1.3499335, 19.994202, 0.4900028, 1.0177007
350, 4, -0.0011999999405816197, -0.0035999998217448592, False, 99.59999, -0.05714792, -4.7683716e-06, 1.4697713, 20.004875, 0.49000004, 1.0538545
350, 5, -0.0011999999405816197, -0.004799999762326479, False, 99.47999, -0.34869587, 0.0, 3.79562, 20.06103, 0.49000004, 1.2279316
350, 6, -0.0011999999405816197, -0.005999999702908099, False, 99.359985, -0.8164916, 0.0, 5.8681755, 20.1739, 0.49000004, 1.5211121
350, 7, -0.0011999999405816197, -0.0071999996434897184, False, 99.23998, -0.7064011, 0.0, 7.8054852, 20.350601, 0.49000004, 1.9161115
350, 8, -0.0011999999405816197, -0.008399999584071338, False, 99.11998, -0.6169684, 0.0, 9.561767, 20.586733, 0.49000004, 2.402563
350, 9, -0.0011999999405816197, -0.009599999524652958, False, 98.99998, -0.54200125, 0.0, 11.154399, 20.876371, 0.49000004, 2.972158
350, 10, -0.0011999999405816197, -0.010799999465234578, False, 98.879974, -0.47801208, 0.0, 12.598784, 21.214296, 0.49000004, 3.6172936
350, 11, -0.0011999999405816197, -0.011999999405816197, False, 98.75997, -0.4227643, 0.0, 13.908797, 21.595852, 0.49000004, 4.331035
350, 12, -0.0011999999405816197, -0.013199999346397817, False, 98.63997, -1.8517089, 0.0, 14.982537, 22.019125, 0.49000004, 5.10568
350, 13, -0.0011999999405816197, -0.014399999286979437, False, 98.519966, -3.215744, 0.0, 15.820227, 22.49248, 0.49000004, 5.9273343
350, 14, -0.0011999999405816197, -0.015599999227561057, False, 98.39996, -4.5031595, 0.0, 16.45219, 23.024433, 0.49000004, 6.780824
350, 15, -0.0011999999405816197, -0.016799999168142676, False, 98.27996, -4.006216, 0.0, 17.413227, 23.619598, 0.49000004, 7.653167
350, 16, -0.0011999999405816197, -0.017999999108724296, False, 98.15996, -1.7356443, 0.0, 18.562666, 24.2714, 0.49000004, 8.54312
350, 17, -0.0011999999405816197, -0.019199999049305916, False, 98.039955, -1.5465069, 0.0, 19.319263, 24.965431, 0.49000004, 9.458091
350, 18, -0.0011999999405816197, -0.020399998989887536, False, 97.91995, -1.3788385, 0.0, 20.005222, 25.695713, 0.49000004, 10.397664
350, 19, -0.0011999999405816197, -0.021599998930469155, False, 97.79995, 0.8336191, 0.0, 20.6503, 26.456688, 0.49000004, 11.361409
350, 20, -0.0011999999405816197, -0.022799998871050775, False, 97.67995, 0.7439718, 0.0, 21.211882, 27.23584, 0.49000004, 12.3549
350, 21, -0.0011999999405816197, -0.023999998811632395, False, 97.559944, 2.8317823, 0.0, 21.54025, 28.027332, 0.49000004, 13.378374
350, 22, -0.0011999999405816197, -0.025199998752214015, False, 97.43994, 2.5290718, 0.0, 22.021244, 28.81979, 0.49000004, 14.43566
350, 23, -0.0011999999405816197, -0.026399998692795634, False, 97.31994, 4.4950566, 0.0, 22.105211, 29.608849, 0.49000004, 15.526036
350, 24, -0.0011999999405816197, -0.027599998633377254, False, 97.199936, 4.01662, 0.0, 22.53692, 30.384094, 0.49000004, 16.65182
350, 25, -0.0011999999405816197, -0.028799998573958874, False, 97.07993, 3.5898495, 0.0, 22.927238, 31.144882, 0.49000004, 17.810558
350, 26, -0.0011999999405816197, -0.029999998514540493, False, 96.95993, 3.2090282, 0.0, 23.28031, 31.892889, 0.49000004, 18.998976
350, 27, -0.0011999999405816197, -0.031199998455122113, False, 96.83993, 3.6476288, 0.0, 14.796539, 32.454575, 0.49000004, 19.90317
350, 28, -0.0011999999405816197, -0.03239999839570373, False, 96.719925, 3.2384338, 0.0, 15.909597, 32.935184, 0.49000004, 20.727825
350, 29, -0.0011999999405816197, -0.03359999833628535, False, 96.59992, 4.5319843, 0.0, 16.53069, 33.411118, 0.49000004, 21.619642
350, 30, -0.0011999999405816197, -0.03479999827686697, False, 96.47992, 5.73853, 0.0, 16.974506, 33.86889, 0.49000004, 22.575703
350, 31, -0.0011999999405816197, -0.03599999821744859, False, 96.35992, 6.8523755, 0.0, 17.266891, 34.293633, 0.49000004, 23.592375
350, 32, -0.0011999999405816197, -0.03719999815803021, False, 96.239914, 7.8703504, 0.0, 17.431517, 34.671806, 0.49000004, 24.664526
350, 33, -0.0011999999405816197, -0.03839999809861183, False, 96.11991, 7.014693, 0.0, 18.316252, 34.99388, 0.49000004, 25.786032
350, 34, -0.0011999999405816197, -0.03959999803919345, False, 95.99991, 6.2547717, 0.0, 19.112669, 35.263588, 0.49000004, 26.951813
350, 35, -0.0011999999405816197, -0.04079999797977507, False, 95.879906, 5.5794716, 0.0, 19.830572, 35.4867, 0.49000004, 28.157545
350, 36, -0.0011999999405816197, -0.04199999792035669, False, 95.7599, 6.992958, 0.0, 19.85312, 35.66568, 0.49000004, 29.399021
350, 37, -0.0011999999405816197, -0.04319999786093831, False, 95.6399, 4.52439, 0.0, 12.844817, 35.788372, 0.49000004, 30.343174
350, 38, -0.0011999999405816197, -0.04439999780151993, False, 95.5199, 2.9625225, 0.0, 8.894644, 35.90574, 0.49000004, 30.97782
350, 39, -0.0011999999405816197, -0.04559999774210155, False, 95.399895, 1.9240383, 0.0, 5.1846666, 36.024586, 0.49000004, 31.366621
350, 40, -0.0011999999405816197, -0.04679999768268317, False, 95.27989, 0.83257926, 0.0, 3.2521162, 36.108395, 0.49000004, 31.592472
350, 41, -0.0011999999405816197, -0.04799999762326479, False, 95.15989, 0.7029735, 0.0, 5.4350843, 36.182343, 0.49000004, 31.869677
350, 42, -0.0011999999405816197, -0.04919999756384641, False, 95.03989, 0.60642624, 0.0, 7.412356, 36.262787, 0.49000004, 32.269516
350, 43, -0.0011999999405816197, -0.05039999750442803, False, 94.91988, 0.5287832, 0.0, 9.205015, 36.349884, 0.49000004, 32.78044
350, 44, -0.0011999999405816197, -0.05159999744500965, False, 94.79988, 0.4640447, 0.0, 10.830708, 36.443417, 0.49000004, 33.39205
350, 45, -0.0011999999405816197, -0.05279999738559127, False, 94.67988, 1.0096936, 0.0, 6.793838, 36.514606, 0.49000004, 33.871063
350, 46, -0.0011999999405816197, -0.05399999732617289, False, 94.559875, 1.0587509, 0.0, 4.1076713, 36.559036, 0.49000004, 34.170013
350, 47, -0.0011999999405816197, -0.05519999726675451, False, 94.43987, 0.9453471, 0.0, 0.5550512, 36.603798, 0.49000004, 34.28112
350, 48, -0.0011999999405816197, -0.05639999720733613, False, 94.31987, 0.7873829, 0.0, -1.9829012, 36.65985, 0.49000004, 34.2179
350, 49, -0.0011999999405816197, -0.05759999714791775, False, 94.19987, 0.64886326, 0.0, -4.286437, 36.723198, 0.49000004, 34.011223
350, 50, -0.0011999999405816197, -0.05879999708849937, False, 94.079865, 1.1196678, 0.0, -6.2850547, 36.79112, 0.49000004, 33.675083
350, 51, -0.0011999999405816197, -0.05999999702908099, False, 93.95986, 1.7232734, 0.0, -8.045635, 36.849586, 0.49000004, 33.22123
350, 52, -0.0011999999405816197, -0.06119999696966261, False, 93.83986, 2.4230535, 0.0, -9.579563, 36.88322, 0.49000004, 32.661705
350, 53, -0.0011999999405816197, -0.062399996910244226, False, 93.71986, 3.1880436, 0.0, -10.900397, 36.87825, 0.49000004, 32.009174
350, 54, -0.0011999999405816197, -0.06359999685082585, False, 93.59985, 3.9919572, 0.0, -12.02319, 36.82258, 0.49000004, 31.27683
350, 55, -0.0011999999405816197, -0.06479999679140747, False, 93.47985, 2.209419, 0.0, -13.702533, 36.71065, 0.49000004, 30.476143
350, 56, -0.0011999999405816197, -0.06599999673198909, False, 93.35985, 0.4874227, 0.0, -15.043553, 36.560375, 0.49000004, 29.60911
350, 57, -0.0011999999405816197, -0.0671999966725707, False, 93.239845, -1.1563108, 0.0, -16.090633, 36.392654, 0.49000004, 28.677298
350, 58, -0.0011999999405816197, -0.06839999661315233, False, 93.11984, -2.7079875, 0.0, -16.88298, 36.22641, 0.49000004, 27.684002
350, 59, -0.0011999999405816197, -0.06959999655373394, False, 92.99984, -0.63490975, 0.0, -17.959835, 36.073383, 0.49000004, 26.634092
350, 60, -0.0011999999405816197, -0.07079999649431556, False, 92.87984, -2.0327184, 0.0, -13.009209, 35.943447, 0.49000004, 25.759808
350, 61, -0.0011999999405816197, -0.07199999643489718, False, 92.759834, -1.782859, 0.0, -8.662448, 35.831505, 0.49000004, 25.155025
